Date,prodcategory1_seller,prodcategory2_seller,productfamily_seller,prodcategory1_seller_based_LM_to_upd,prodcategory2_seller_based_LM_to_upd,productfamily_seller_based_LM_to_upd,innoscape_ref_prodcategory1_seller,innoscape_ref_prodcategory2_seller,innoscape_ref_productfamily_seller
,Matériaux et menuiserie,Gros oeuvre,Accessoires d'enduit de façade,,,Accessoires Gros oeuvre,Matériaux et menuiserie,Gros oeuvre,Accessoires Gros oeuvre
,Matériaux et menuiserie,"Toiture, charpente et bardage","Accessoires de toiture, charpente et bardage",,,Accessoires couverture,Matériaux et menuiserie,"Toiture, charpente et bardage",Accessoires couverture
,Matériaux & Menuiserie,"Toiture, charpente et bardage",Accessoires de tuile et ardoise,,,Accessoires couverture,Matériaux & Menuiserie,"Toiture, charpente et bardage",Accessoires couverture
,Matériaux et menuiserie,Gros oeuvre,Montage traditionnel de cheminée,,,Divers Gros oeuvre,Matériaux et menuiserie,Gros oeuvre,Divers Gros oeuvre
,Matériaux et menuiserie,Evacuation et traitement des eaux,Accessoires d'évacuation et traitement des eaux,,,"Gouttière, descente et accessoires  ",Matériaux et menuiserie,Evacuation et traitement des eaux,"Gouttière, descente et accessoires  "
,Matériaux et menuiserie,Gros oeuvre,"Poudre (béton, chaux, ciment, enduit, mortier, ragréage, ...)",,,"Poudre béton, chaux, ciment, enduit, mortier, ragréage",Matériaux et menuiserie,Gros oeuvre,"Poudre béton, chaux, ciment, enduit, mortier, ragréage"
,Matériaux & Menuiserie,Evacuation et traitement des eaux,Accessoires gouttière et descente,,,"Gouttière, descente et accessoires  ",Matériaux & Menuiserie,Evacuation et traitement des eaux,"Gouttière, descente et accessoires  "
,Chauffage & Plomberie,Chauffe-eau et ballon d'eau chaude,Accessoires pour chauffe-eau électrique,,,Accessoires chauffe-eau ,Chauffage & Plomberie,Chauffe-eau et ballon d'eau chaude,Accessoires chauffe-eau 
,Chauffage et plomberie,Traitement de l'eau et adoucisseur,Adoucisseur et sel adoucisseur d'eau,,,Adoucisseur,Chauffage et plomberie,Traitement de l'eau et adoucisseur,Adoucisseur
,Chauffage & Plomberie,"VMC, aérateur et déshumidificateur",Aérateur,,,Aérateur et VMC,Chauffage & Plomberie,"VMC, aérateur et déshumidificateur",Aérateur et VMC
,Terrasse et jardin,"Arrosage, pompe et récupérateur d'eau de pluie","Lance, pistolet d'arrosage et brosse de lavage",,Outil à main de jardin,Arrosage,Terrasse et jardin,Outil à main de jardin,Arrosage
,Matériaux & Menuiserie,Etanchéité des murs et sols,Anti-mousse,,Colles-Adhésifs-Etanchéité,Anti-mousse,Matériaux & Menuiserie,Colles-Adhésifs-Etanchéité,Anti-mousse
,Matériaux & Menuiserie,Isolation,Mousse expansive,,,Mousse expansive,Matériaux & Menuiserie,Isolation,Mousse expansive
,Outillage,Machine d'atelier,Accessoires de machine à bois,,Machine d'atelier et gros outillage,Accessoires Outillage stationnaire,Outillage,Machine d'atelier et gros outillage,Accessoires Outillage stationnaire
,Outillage,Machine d'atelier,Scie électrique stationnaire,,Machine d'atelier et gros outillage,Outillage stationnaire,Outillage,Machine d'atelier et gros outillage,Outillage stationnaire
,Terrasse et jardin,"Grillage, canisse, panneau, clôture et palissade","Brise-vue, canisse, brande et brise vent",,Aménagement,"Brise-vue, canisse, brande et brise vent",Terrasse et jardin,Aménagement,"Brise-vue, canisse, brande et brise vent"
,Outillage,Matériel et aménagement de l'atelier,"Aspirateur, nettoyeur vapeur et accessoires",,Machine d'atelier et gros outillage,"Aspirateurs, Nettoyeurs HP et accessoires",Outillage,Machine d'atelier et gros outillage,"Aspirateurs, Nettoyeurs HP et accessoires"
,Outillage,Matériel et aménagement de l'atelier,Compresseur et accessoires,,Machine d'atelier et gros outillage,Compresseurs et accessoires,Outillage,Machine d'atelier et gros outillage,Compresseurs et accessoires
,Matériaux et menuiserie,Evacuation et traitement des eaux,"Caniveau, siphon et regard",,,"Gouttière, descente et accessoires  ",Matériaux et menuiserie,Evacuation et traitement des eaux,"Gouttière, descente et accessoires  "
,Terrasse et jardin,"Arrosage, pompe et récupérateur d'eau de pluie",Programmateur d’arrosage,,Outil à main de jardin,Arrosage,Terrasse et jardin,Outil à main de jardin,Arrosage
,Chauffage et plomberie,Traitement de l'eau et adoucisseur,Centrale de traitement pour eau de boisson,,,Adoucisseur,Chauffage et plomberie,Traitement de l'eau et adoucisseur,Adoucisseur
,Matériaux et menuiserie,"Toiture, charpente et bardage",Chapeau de ventilation,,,Accessoires couverture,Matériaux et menuiserie,"Toiture, charpente et bardage",Accessoires couverture
,Chauffage & Plomberie,Chauffe-eau et ballon d'eau chaude,Chauffe-eau électrique instantané,,,chauffe-eau électrique ,Chauffage & Plomberie,Chauffe-eau et ballon d'eau chaude,chauffe-eau électrique 
,Chauffage & Plomberie,Chauffe-eau et ballon d'eau chaude,Chauffe-eau et ballon d'eau chaude électrique,,,chauffe-eau électrique ,Chauffage & Plomberie,Chauffe-eau et ballon d'eau chaude,chauffe-eau électrique 
,Chauffage & Plomberie,Chauffe-eau et ballon d'eau chaude,Chauffe-eau gaz,,,chauffe-eau gaz,Chauffage & Plomberie,Chauffe-eau et ballon d'eau chaude,chauffe-eau gaz
,Chauffage & Plomberie,Production d'énergie et de chauffage renouvelable,Chauffe-eau thermodynamique,,,Chauffe-eau thermodynamique,Chauffage & Plomberie,Production d'énergie et de chauffage renouvelable,Chauffe-eau thermodynamique
,Peinture et droguerie,"Colle, double face et adhésif",Colle et mastic colle,Matériaux & Menuiserie,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité ,Matériaux & Menuiserie,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité 
,Outillage,Matériel et aménagement de l'atelier,Radio de chantier,,,Divers,Outillage,Matériel et aménagement de l'atelier,Divers
,Chauffage & Plomberie,"VMC, aérateur et déshumidificateur",Conduit et accessoires d'aération,,,Conduit et accessoires d'aération,Chauffage & Plomberie,"VMC, aérateur et déshumidificateur",Conduit et accessoires d'aération
,Outillage,Outillage à main,Pistolet à colle et agrafeuse,,,,Outillage,Outillage à main,Pistolet à colle et agrafeuse
,Outillage,Outillage électroportatif,Accessoires et consommables,,,Accessoires et consommables outillage électroportatif,Outillage,Outillage électroportatif,Accessoires et consommables outillage électroportatif
,Outillage,Outillage électroportatif,Batterie et chargeur,,,,Outillage,Outillage électroportatif,Batterie et chargeur
,Outillage,Outillage électroportatif,Décapeur thermique,,,Divers OEP,Outillage,Outillage électroportatif,Divers OEP
,Outillage,Outillage électroportatif,Défonceuse et lamelleuse,,,Défonceuse et lamelleuse et rabot,Outillage,Outillage électroportatif,Défonceuse et lamelleuse et rabot
,Matériaux & Menuiserie,Etanchéité des murs et sols,"Etanchéité des fondations, mur enterré et dalle",,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité ,Matériaux & Menuiserie,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité 
,Matériaux & Menuiserie,Etanchéité des murs et sols,Etanchéité des murs et façades,,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité ,Matériaux & Menuiserie,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité 
,Matériaux & Menuiserie,Etanchéité des murs et sols,Etanchéité des sols et terrasses,,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité ,Matériaux & Menuiserie,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité 
,Matériaux et menuiserie,Etanchéité des murs et sols,Etanchéité des toitures,,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité ,Matériaux et menuiserie,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité 
,Chauffage et plomberie,Equipement WC et accessoires robinet,"Fixation, pipe et joint de WC",,,,Chauffage et plomberie,Equipement WC et accessoires robinet,"Fixation, pipe et joint de WC"
,Matériaux & Menuiserie,Evacuation et traitement des eaux,Gouttière et descente,,,"Gouttière, descente et accessoires  ",Matériaux & Menuiserie,Evacuation et traitement des eaux,"Gouttière, descente et accessoires  "
,Matériaux & Menuiserie,"Toiture, charpente et bardage","Habillage de sous-toiture, sous-face et cache-moineaux",,,Accessoires couverture,Matériaux & Menuiserie,"Toiture, charpente et bardage",Accessoires couverture
,Outillage,Outillage électroportatif,Meuleuse et rainureuse,,,,Outillage,Outillage électroportatif,Meuleuse et rainureuse
,Terrasse et jardin,"Arrosage, pompe et récupérateur d'eau de pluie","Raccord d'arrosage, robinet et vanne",,Outil à main de jardin,Arrosage,Terrasse et jardin,Outil à main de jardin,Arrosage
,Matériaux & Menuiserie,Etanchéité des murs et sols,Mastic d'étanchéité,,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité ,Matériaux & Menuiserie,Colles-Adhésifs-Etanchéité,Mastic colle Etanchéité 
,Outillage,Outillage électroportatif,Outil multifonctions,,,Outils multifonctions,Outillage,Outillage électroportatif,Outils multifonctions
,Outillage,Outillage électroportatif,Outillage de précision et accessoires,,,Accessoires et consommables outillage électroportatif,Outillage,Outillage électroportatif,Accessoires et consommables outillage électroportatif
,Outillage,Outillage électroportatif,Perceuse filaire et perforateur,,,"Perceuse, perforateur et visseuse filaire",Outillage,Outillage électroportatif,"Perceuse, perforateur et visseuse filaire"
,Terrasse et jardin,"Arrosage, pompe et récupérateur d'eau de pluie","Seau, jerrican et arrosoir",,Outil à main de jardin,Arrosage,Terrasse et jardin,Outil à main de jardin,Arrosage
,Outillage,Outillage électroportatif,Perceuse sans fil et visseuse,,,"Perceuse, perforateur et visseuse sans fil",Outillage,Outillage électroportatif,"Perceuse, perforateur et visseuse sans fil"
,Outillage,Outillage électroportatif,Ponceuse électrique,,,,Outillage,Outillage électroportatif,Ponceuse électrique
,Outillage,Outillage électroportatif,Rabot électrique,,,Défonceuse et lamelleuse et rabot,Outillage,Outillage électroportatif,Défonceuse et lamelleuse et rabot
,Terrasse et jardin,"Arrosage, pompe et récupérateur d'eau de pluie",Tuyau d'arrosage et enrouleur de tuyau,,Outil à main de jardin,Arrosage,Terrasse et jardin,Outil à main de jardin,Arrosage
,Outillage,Outillage électroportatif,"Scie électrique portative (sauteuse, égoïne, circulaire, ...)",,,Scies électriques,Outillage,Outillage électroportatif,Scies électriques
,Terrasse et jardin,Outils de jardinage,"Outil pour tailler (haie, arbuste, ...)",,Outil à main de jardin,Taillanderie,Terrasse et jardin,Outil à main de jardin,Taillanderie
,Terrasse et jardin,Outils de jardinage,Râteau et épandeur,,Outil à main de jardin,Outillage à main,Terrasse et jardin,Outil à main de jardin,Outillage à main
,Matériaux et menuiserie,Etanchéité des murs et sols,Pistolet pour mastic,Outillage,Outillage à main,Pistolet à colle et agrafeuse,Outillage,Outillage à main,Pistolet à colle et agrafeuse
,Terrasse et jardin,"Gazon, terreau, serre et entretien du jardin",Anti nuisibles,,Produits pour jardin,Produits phytosanitaires,Terrasse et jardin,Produits pour jardin,Produits phytosanitaires
,Chauffage & Plomberie,"VMC, aérateur et déshumidificateur",Purificateur d'air et filtre,,,"Purificateur, déshumidificateur et humidificateur ",Chauffage & Plomberie,"VMC, aérateur et déshumidificateur","Purificateur, déshumidificateur et humidificateur "
,Terrasse & Jardin,"Tondeuse, tronçonneuse, taille-haie…",Aspirateur souffleur,,Outillage motorisé,"Aspirateurs, souffleurs, broyeurs",Terrasse & Jardin,Outillage motorisé,"Aspirateurs, souffleurs, broyeurs"
,Terrasse et jardin,"Gazon, terreau, serre et entretien du jardin",Carré potager et table de rempotage,,Produits pour jardin,Carré potager et table de rempotage,Terrasse et jardin,Produits pour jardin,Carré potager et table de rempotage
,Matériaux & Menuiserie,Evacuation et traitement des eaux,Raccord de gouttière et descente,,,"Gouttière, descente et accessoires  ",Matériaux & Menuiserie,Evacuation et traitement des eaux,"Gouttière, descente et accessoires  "
,Terrasse & Jardin,"Tondeuse, tronçonneuse, taille-haie...",Broyeur de végétaux,,Outillage motorisé,"Aspirateurs, souffleurs, broyeurs",Terrasse & Jardin,Outillage motorisé,"Aspirateurs, souffleurs, broyeurs"
,Terrasse & Jardin,"Tondeuse, tronçonneuse, taille-haie…",Coupe-bordure,,Outillage motorisé,Débroussailleuse et coupe-bordures,Terrasse & Jardin,Outillage motorisé,Débroussailleuse et coupe-bordures
,Terrasse & Jardin,"Tondeuse, tronçonneuse, taille-haie…",Débroussailleuse et tondeuse débroussailleuse,,Outillage motorisé,Débroussailleuse et coupe-bordures,Terrasse & Jardin,Outillage motorisé,Débroussailleuse et coupe-bordures
,Terrasse et jardin,"Tondeuse, tronçonneuse, taille-haie…","Huile, additif et accessoires pour outil motorisé",,Outillage motorisé,Accessoires pour outillage motorisé,Terrasse et jardin,Outillage motorisé,Accessoires pour outillage motorisé
